"","From","FromAnno","To","ToAnno","Jaccard","Cor"
"671","hsa:414328","IDNK, C9orf103, bA522I20.2; idnK, gluconokinase homolog (E. coli) (EC:2.7.1.12) (A)","hsa:509","ATP5C1, ATP5C, ATP5CL1; ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1 (EC:3.6.1.14); K02136 F-type H+-transporting ATPase subunit gamma [EC:3.6.3.14] (A)","0.61","0.31"
"672","hsa:414328","IDNK, C9orf103, bA522I20.2; idnK, gluconokinase homolog (E. coli) (EC:2.7.1.12) (A)","hsa:539","ATP5O, ATPO, OSCP; ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (EC:3.6.3.14); K02137 F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14] (A)","0.59","0.29"
"673","hsa:148003","LGALS16; lectin, galactoside-binding, soluble, 16 (A)","hsa:9551","ATP5J2, ATP5JL; ATP synthase, H+ transporting, mitochondrial Fo complex, subunit F2 (EC:3.6.1.14); K02130 F-type H+-transporting ATPase subunit f [EC:3.6.3.14] (A)","0.91","0.95"
"674","hsa:245937","DEFB124, DEFB-24; defensin, beta 124 (A)","hsa:4509","ATP8, ATPase8, MTATP8, MT-ATP8; ATP synthase F0 subunit 8; K02125 F-type H+-transporting ATPase subunit 8 [EC:3.6.3.14] (A)","0.57","0.72"
"675","hsa:285941","C7orf71; chromosome 7 open reading frame 71 (A)","hsa:4509","ATP8, ATPase8, MTATP8, MT-ATP8; ATP synthase F0 subunit 8; K02125 F-type H+-transporting ATPase subunit 8 [EC:3.6.3.14] (A)","0.33","0.54"
"676","hsa:25894","PLEKHG4, ARHGEF44, PRTPHN1, SCA4; pleckstrin homology domain containing, family G (with RhoGef domain) member 4 (A)","hsa:515","ATP5F1, PIG47; ATP synthase, H+ transporting, mitochondrial Fo complex, subunit B1; K02127 F-type H+-transporting ATPase subunit b [EC:3.6.3.14] (A)","0.84","0.89"
"677","hsa:245940","DEFB130, DEFB-30, DEFB130L; defensin, beta 130 (A)","hsa:4509","ATP8, ATPase8, MTATP8, MT-ATP8; ATP synthase F0 subunit 8; K02125 F-type H+-transporting ATPase subunit 8 [EC:3.6.3.14] (A)","0.34","0.53"
"678","hsa:26952","SMR3A, P-B1, PBI, PRL5, PROL5; submaxillary gland androgen regulated protein 3A (A)","hsa:4509","ATP8, ATPase8, MTATP8, MT-ATP8; ATP synthase F0 subunit 8; K02125 F-type H+-transporting ATPase subunit 8 [EC:3.6.3.14] (A)","0.38","0.6"
"679","hsa:140683","BPIFA2, C20orf70, PSP, SPLUNC2, bA49G10.1; BPI fold containing family A, member 2 (A)","hsa:4509","ATP8, ATPase8, MTATP8, MT-ATP8; ATP synthase F0 subunit 8; K02125 F-type H+-transporting ATPase subunit 8 [EC:3.6.3.14] (A)","0.76","0.87"
"680","hsa:285668","C5orf64; chromosome 5 open reading frame 64 (A)","hsa:4509","ATP8, ATPase8, MTATP8, MT-ATP8; ATP synthase F0 subunit 8; K02125 F-type H+-transporting ATPase subunit 8 [EC:3.6.3.14] (A)","0.48","0.69"
"681","hsa:200765","TIGD1, EEYORE; tigger transposable element derived 1 (A)","hsa:515","ATP5F1, PIG47; ATP synthase, H+ transporting, mitochondrial Fo complex, subunit B1; K02127 F-type H+-transporting ATPase subunit b [EC:3.6.3.14] (A)","0.74","0.82"
"682","hsa:440021","KRTAP5-2, KRTAP5-8, KRTAP5.2; keratin associated protein 5-2 (A)","hsa:4509","ATP8, ATPase8, MTATP8, MT-ATP8; ATP synthase F0 subunit 8; K02125 F-type H+-transporting ATPase subunit 8 [EC:3.6.3.14] (A)","0.71","0.84"
"683","hsa:2307","FOXS1, FKHL18, FREAC10; forkhead box S1; K09412 forkhead-like 18 protein (A)","hsa:515","ATP5F1, PIG47; ATP synthase, H+ transporting, mitochondrial Fo complex, subunit B1; K02127 F-type H+-transporting ATPase subunit b [EC:3.6.3.14] (A)","0.86","0.91"
"684","hsa:157724","SLC7A13, AGT-1, AGT1, XAT2; solute carrier family 7 (anionic amino acid transporter), member 13; K13870 solute carrier family 7 (L-type amino acid transporter), member 13 (A)","hsa:498","ATP5A1, ATP5A, ATP5AL2, ATPM, MC5DN4, MOM2, OMR, ORM, hATP1; ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle; K02132 F-type H+-transporting ATPase subunit alpha [EC:3.6.3.14] (A)","0.7","0.12"
"685","hsa:157724","SLC7A13, AGT-1, AGT1, XAT2; solute carrier family 7 (anionic amino acid transporter), member 13; K13870 solute carrier family 7 (L-type amino acid transporter), member 13 (A)","hsa:506","ATP5B, ATPMB, ATPSB; ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide (EC:3.6.3.14); K02133 F-type H+-transporting ATPase subunit beta [EC:3.6.3.14] (A)","0.69","0.08"
"686","hsa:132243","H1FOO, osH1; H1 histone family, member O, oocyte-specific (A)","hsa:9551","ATP5J2, ATP5JL; ATP synthase, H+ transporting, mitochondrial Fo complex, subunit F2 (EC:3.6.1.14); K02130 F-type H+-transporting ATPase subunit f [EC:3.6.3.14] (A)","0.79","0.88"
"687","hsa:56891","LGALS14, CLC2, PPL13; lectin, galactoside-binding, soluble, 14; K10097 galectin-14 (A)","hsa:9551","ATP5J2, ATP5JL; ATP synthase, H+ transporting, mitochondrial Fo complex, subunit F2 (EC:3.6.1.14); K02130 F-type H+-transporting ATPase subunit f [EC:3.6.3.14] (A)","0.92","0.96"
"688","hsa:3641","INSL4, EPIL, PLACENTIN; insulin-like 4 (placenta); K05255 relaxin (A)","hsa:4509","ATP8, ATPase8, MTATP8, MT-ATP8; ATP synthase F0 subunit 8; K02125 F-type H+-transporting ATPase subunit 8 [EC:3.6.3.14] (A)","0.46","0.64"
"689","hsa:374875","HSD11B1L, 11-DH3, 11-beta-HSD3, HSD3, SCDR10, SCDR10B, SDR26C2; hydroxysteroid (11-beta) dehydrogenase 1-like (EC:1.1.1.-) (A)","hsa:506","ATP5B, ATPMB, ATPSB; ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide (EC:3.6.3.14); K02133 F-type H+-transporting ATPase subunit beta [EC:3.6.3.14] (A)","0.95","0.29"
"690","hsa:374875","HSD11B1L, 11-DH3, 11-beta-HSD3, HSD3, SCDR10, SCDR10B, SDR26C2; hydroxysteroid (11-beta) dehydrogenase 1-like (EC:1.1.1.-) (A)","hsa:498","ATP5A1, ATP5A, ATP5AL2, ATPM, MC5DN4, MOM2, OMR, ORM, hATP1; ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle; K02132 F-type H+-transporting ATPase subunit alpha [EC:3.6.3.14] (A)","0.95","0.3"
"691","hsa:440050","KRTAP5-7, KRTAP5-3, KRTAP5.7; keratin associated protein 5-7 (A)","hsa:4509","ATP8, ATPase8, MTATP8, MT-ATP8; ATP synthase F0 subunit 8; K02125 F-type H+-transporting ATPase subunit 8 [EC:3.6.3.14] (A)","0.74","0.85"
"692","hsa:254910","LCE5A, LEP18, SPRL5A; late cornified envelope 5A (A)","hsa:4509","ATP8, ATPase8, MTATP8, MT-ATP8; ATP synthase F0 subunit 8; K02125 F-type H+-transporting ATPase subunit 8 [EC:3.6.3.14] (A)","0.29","0.45"
"693","hsa:2491","CENPI, CENP-I, FSHPRH1, LRPR1, Mis6; centromere protein I; K11501 centromere protein I (A)","hsa:515","ATP5F1, PIG47; ATP synthase, H+ transporting, mitochondrial Fo complex, subunit B1; K02127 F-type H+-transporting ATPase subunit b [EC:3.6.3.14] (A)","0.58","0.71"
"694","hsa:353332","KRTAP12-1, KAP12.1, KRTAP12.1; keratin associated protein 12-1 (A)","hsa:4509","ATP8, ATPase8, MTATP8, MT-ATP8; ATP synthase F0 subunit 8; K02125 F-type H+-transporting ATPase subunit 8 [EC:3.6.3.14] (A)","0.76","0.87"
"695","hsa:142685","ASB15; ankyrin repeat and SOCS box containing 15; K10337 ankyrin repeat and SOCS box protein 15 (A)","hsa:509","ATP5C1, ATP5C, ATP5CL1; ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1 (EC:3.6.1.14); K02136 F-type H+-transporting ATPase subunit gamma [EC:3.6.3.14] (A)","0.64","0.3"
"696","hsa:353141","LCE2D, LEP12, SPRL1A; late cornified envelope 2D (A)","hsa:4509","ATP8, ATPase8, MTATP8, MT-ATP8; ATP synthase F0 subunit 8; K02125 F-type H+-transporting ATPase subunit 8 [EC:3.6.3.14] (A)","0.31","0.46"
"697","hsa:353145","LCE3E, LEP17; late cornified envelope 3E (A)","hsa:4509","ATP8, ATPase8, MTATP8, MT-ATP8; ATP synthase F0 subunit 8; K02125 F-type H+-transporting ATPase subunit 8 [EC:3.6.3.14] (A)","0.46","0.64"
"698","hsa:203611","CDY2B, CDY; chromodomain protein, Y-linked, 2B (EC:2.3.1.48); K00653 histone acetyltransferase [EC:2.3.1.48] (A)","hsa:498","ATP5A1, ATP5A, ATP5AL2, ATPM, MC5DN4, MOM2, OMR, ORM, hATP1; ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle; K02132 F-type H+-transporting ATPase subunit alpha [EC:3.6.3.14] (A)","0.78","0.15"
"699","hsa:113444","SMIM12, C1orf212; small integral membrane protein 12 (A)","hsa:9551","ATP5J2, ATP5JL; ATP synthase, H+ transporting, mitochondrial Fo complex, subunit F2 (EC:3.6.1.14); K02130 F-type H+-transporting ATPase subunit f [EC:3.6.3.14] (A)","0.79","0.88"
"700","hsa:129025","ZNF280A, 3'OY11.1, SUHW1, ZNF280, ZNF636; zinc finger protein 280A (A)","hsa:515","ATP5F1, PIG47; ATP synthase, H+ transporting, mitochondrial Fo complex, subunit B1; K02127 F-type H+-transporting ATPase subunit b [EC:3.6.3.14] (A)","0.66","0.75"
"701","hsa:23255","SOGA2, CCDC165, KIAA0802; SOGA family member 2 (A)","hsa:9551","ATP5J2, ATP5JL; ATP synthase, H+ transporting, mitochondrial Fo complex, subunit F2 (EC:3.6.1.14); K02130 F-type H+-transporting ATPase subunit f [EC:3.6.3.14] (A)","0.85","0.91"
"702","hsa:387264","KRTAP5-1, KRN1L, KRTAP5.1; keratin associated protein 5-1 (A)","hsa:4509","ATP8, ATPase8, MTATP8, MT-ATP8; ATP synthase F0 subunit 8; K02125 F-type H+-transporting ATPase subunit 8 [EC:3.6.3.14] (A)","0.3","0.45"
"703","hsa:100289462","DEFB4B, DEFB4P; defensin, beta 4B (A)","hsa:4509","ATP8, ATPase8, MTATP8, MT-ATP8; ATP synthase F0 subunit 8; K02125 F-type H+-transporting ATPase subunit 8 [EC:3.6.3.14] (A)","0.48","0.65"
"704","hsa:506","ATP5B, ATPMB, ATPSB; ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide (EC:3.6.3.14); K02133 F-type H+-transporting ATPase subunit beta [EC:3.6.3.14] (A)","hsa:51110","LACTB2; lactamase, beta 2 (A)","0.91","0.23"
"705","hsa:498","ATP5A1, ATP5A, ATP5AL2, ATPM, MC5DN4, MOM2, OMR, ORM, hATP1; ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle; K02132 F-type H+-transporting ATPase subunit alpha [EC:3.6.3.14] (A)","hsa:51110","LACTB2; lactamase, beta 2 (A)","0.91","0.18"
"706","hsa:506","ATP5B, ATPMB, ATPSB; ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide (EC:3.6.3.14); K02133 F-type H+-transporting ATPase subunit beta [EC:3.6.3.14] (A)","hsa:6132","RPL8, L8; ribosomal protein L8; K02938 large subunit ribosomal protein L8e (A)","0.98","0.3"
"707","hsa:498","ATP5A1, ATP5A, ATP5AL2, ATPM, MC5DN4, MOM2, OMR, ORM, hATP1; ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle; K02132 F-type H+-transporting ATPase subunit alpha [EC:3.6.3.14] (A)","hsa:6132","RPL8, L8; ribosomal protein L8; K02938 large subunit ribosomal protein L8e (A)","0.98","0.13"
"708","hsa:506","ATP5B, ATPMB, ATPSB; ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide (EC:3.6.3.14); K02133 F-type H+-transporting ATPase subunit beta [EC:3.6.3.14] (A)","hsa:8891","EIF2B3, EIF-2B, EIF2Bgamma; eukaryotic translation initiation factor 2B, subunit 3 gamma, 58kDa; K03241 translation initiation factor eIF-2B subunit gamma (A)","0.95","0.34"
"709","hsa:498","ATP5A1, ATP5A, ATP5AL2, ATPM, MC5DN4, MOM2, OMR, ORM, hATP1; ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle; K02132 F-type H+-transporting ATPase subunit alpha [EC:3.6.3.14] (A)","hsa:8891","EIF2B3, EIF-2B, EIF2Bgamma; eukaryotic translation initiation factor 2B, subunit 3 gamma, 58kDa; K03241 translation initiation factor eIF-2B subunit gamma (A)","0.94","0.31"
"710","hsa:506","ATP5B, ATPMB, ATPSB; ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide (EC:3.6.3.14); K02133 F-type H+-transporting ATPase subunit beta [EC:3.6.3.14] (A)","hsa:5238","PGM3, AGM1, PAGM, PGM_3; phosphoglucomutase 3 (EC:5.4.2.3); K01836 phosphoacetylglucosamine mutase [EC:5.4.2.3] (A)","0.8","0.21"
"711","hsa:498","ATP5A1, ATP5A, ATP5AL2, ATPM, MC5DN4, MOM2, OMR, ORM, hATP1; ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle; K02132 F-type H+-transporting ATPase subunit alpha [EC:3.6.3.14] (A)","hsa:5238","PGM3, AGM1, PAGM, PGM_3; phosphoglucomutase 3 (EC:5.4.2.3); K01836 phosphoacetylglucosamine mutase [EC:5.4.2.3] (A)","0.79","0.18"
"712","hsa:498","ATP5A1, ATP5A, ATP5AL2, ATPM, MC5DN4, MOM2, OMR, ORM, hATP1; ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle; K02132 F-type H+-transporting ATPase subunit alpha [EC:3.6.3.14] (A)","hsa:80745","THUMPD2, C2orf8; THUMP domain containing 2 (A)","0.64","0.1"
"713","hsa:506","ATP5B, ATPMB, ATPSB; ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide (EC:3.6.3.14); K02133 F-type H+-transporting ATPase subunit beta [EC:3.6.3.14] (A)","hsa:80745","THUMPD2, C2orf8; THUMP domain containing 2 (A)","0.64","0.08"
"714","hsa:509","ATP5C1, ATP5C, ATP5CL1; ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1 (EC:3.6.1.14); K02136 F-type H+-transporting ATPase subunit gamma [EC:3.6.3.14] (A)","hsa:51056","LAP3, LAP, LAPEP, PEPS; leucine aminopeptidase 3 (EC:3.4.11.5 3.4.11.1); K11142 cytosol aminopeptidase [EC:3.4.11.1 3.4.11.5] (A)","0.71","0.36"
"715","hsa:498","ATP5A1, ATP5A, ATP5AL2, ATPM, MC5DN4, MOM2, OMR, ORM, hATP1; ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle; K02132 F-type H+-transporting ATPase subunit alpha [EC:3.6.3.14] (A)","hsa:51056","LAP3, LAP, LAPEP, PEPS; leucine aminopeptidase 3 (EC:3.4.11.5 3.4.11.1); K11142 cytosol aminopeptidase [EC:3.4.11.1 3.4.11.5] (A)","0.67","0.11"
"716","hsa:506","ATP5B, ATPMB, ATPSB; ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide (EC:3.6.3.14); K02133 F-type H+-transporting ATPase subunit beta [EC:3.6.3.14] (A)","hsa:85865","GTPBP10, ObgH2; GTP-binding protein 10 (putative) (A)","0.99","0.47"
"717","hsa:498","ATP5A1, ATP5A, ATP5AL2, ATPM, MC5DN4, MOM2, OMR, ORM, hATP1; ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle; K02132 F-type H+-transporting ATPase subunit alpha [EC:3.6.3.14] (A)","hsa:85865","GTPBP10, ObgH2; GTP-binding protein 10 (putative) (A)","0.99","0.43"
"718","hsa:515","ATP5F1, PIG47; ATP synthase, H+ transporting, mitochondrial Fo complex, subunit B1; K02127 F-type H+-transporting ATPase subunit b [EC:3.6.3.14] (A)","hsa:64787","EPS8L2, EPS8R2; EPS8-like 2; K17277 epidermal growth factor receptor kinase substrate 8 (A)","0.83","0.89"
"719","hsa:515","ATP5F1, PIG47; ATP synthase, H+ transporting, mitochondrial Fo complex, subunit B1; K02127 F-type H+-transporting ATPase subunit b [EC:3.6.3.14] (A)","hsa:54677","CROT, COT; carnitine O-octanoyltransferase (EC:2.3.1.137); K05940 carnitine O-octanoyltransferase [EC:2.3.1.137] (A)","0.76","0.84"
"720","hsa:498","ATP5A1, ATP5A, ATP5AL2, ATPM, MC5DN4, MOM2, OMR, ORM, hATP1; ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle; K02132 F-type H+-transporting ATPase subunit alpha [EC:3.6.3.14] (A)","hsa:84239","ATP13A4; ATPase type 13A4 (EC:3.6.3.-); K14951 cation-transporting ATPase 13A3/4/5 [EC:3.6.3.-] (A)","0.95","0.28"
"721","hsa:506","ATP5B, ATPMB, ATPSB; ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide (EC:3.6.3.14); K02133 F-type H+-transporting ATPase subunit beta [EC:3.6.3.14] (A)","hsa:84239","ATP13A4; ATPase type 13A4 (EC:3.6.3.-); K14951 cation-transporting ATPase 13A3/4/5 [EC:3.6.3.-] (A)","0.94","0.23"
"722","hsa:506","ATP5B, ATPMB, ATPSB; ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide (EC:3.6.3.14); K02133 F-type H+-transporting ATPase subunit beta [EC:3.6.3.14] (A)","hsa:9453","GGPS1, GGPPS, GGPPS1; geranylgeranyl diphosphate synthase 1 (EC:2.5.1.1 2.5.1.10 2.5.1.29); K00804 geranylgeranyl diphosphate synthase, type III [EC:2.5.1.1 2.5.1.10 2.5.1.29] (A)","0.96","0.27"
"723","hsa:498","ATP5A1, ATP5A, ATP5AL2, ATPM, MC5DN4, MOM2, OMR, ORM, hATP1; ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle; K02132 F-type H+-transporting ATPase subunit alpha [EC:3.6.3.14] (A)","hsa:9453","GGPS1, GGPPS, GGPPS1; geranylgeranyl diphosphate synthase 1 (EC:2.5.1.1 2.5.1.10 2.5.1.29); K00804 geranylgeranyl diphosphate synthase, type III [EC:2.5.1.1 2.5.1.10 2.5.1.29] (A)","0.96","0.29"
"724","hsa:506","ATP5B, ATPMB, ATPSB; ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide (EC:3.6.3.14); K02133 F-type H+-transporting ATPase subunit beta [EC:3.6.3.14] (A)","hsa:83693","HSDL1, SDR12C3; hydroxysteroid dehydrogenase like 1 (A)","0.95","0.33"
"725","hsa:498","ATP5A1, ATP5A, ATP5AL2, ATPM, MC5DN4, MOM2, OMR, ORM, hATP1; ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle; K02132 F-type H+-transporting ATPase subunit alpha [EC:3.6.3.14] (A)","hsa:83693","HSDL1, SDR12C3; hydroxysteroid dehydrogenase like 1 (A)","0.95","0.3"
"726","hsa:509","ATP5C1, ATP5C, ATP5CL1; ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1 (EC:3.6.1.14); K02136 F-type H+-transporting ATPase subunit gamma [EC:3.6.3.14] (A)","hsa:79896","THNSL1, TSH1; threonine synthase-like 1 (S. cerevisiae) (A)","0.83","0.44"
"727","hsa:506","ATP5B, ATPMB, ATPSB; ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide (EC:3.6.3.14); K02133 F-type H+-transporting ATPase subunit beta [EC:3.6.3.14] (A)","hsa:79896","THNSL1, TSH1; threonine synthase-like 1 (S. cerevisiae) (A)","0.82","0.15"
"728","hsa:498","ATP5A1, ATP5A, ATP5AL2, ATPM, MC5DN4, MOM2, OMR, ORM, hATP1; ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle; K02132 F-type H+-transporting ATPase subunit alpha [EC:3.6.3.14] (A)","hsa:79896","THNSL1, TSH1; threonine synthase-like 1 (S. cerevisiae) (A)","0.82","0.09"
"729","hsa:498","ATP5A1, ATP5A, ATP5AL2, ATPM, MC5DN4, MOM2, OMR, ORM, hATP1; ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle; K02132 F-type H+-transporting ATPase subunit alpha [EC:3.6.3.14] (A)","hsa:85441","HELZ2, PDIP-1, PRIC285; helicase with zinc finger 2, transcriptional coactivator (A)","0.88","0.18"
"730","hsa:506","ATP5B, ATPMB, ATPSB; ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide (EC:3.6.3.14); K02133 F-type H+-transporting ATPase subunit beta [EC:3.6.3.14] (A)","hsa:85441","HELZ2, PDIP-1, PRIC285; helicase with zinc finger 2, transcriptional coactivator (A)","0.88","0.11"
"731","hsa:509","ATP5C1, ATP5C, ATP5CL1; ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1 (EC:3.6.1.14); K02136 F-type H+-transporting ATPase subunit gamma [EC:3.6.3.14] (A)","hsa:8449","DHX16, DBP2, DDX16, PRO2014, PRP8, PRPF2, Prp2; DEAH (Asp-Glu-Ala-His) box polypeptide 16 (EC:3.6.4.13); K12813 pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16 [EC:3.6.4.13] (A)","0.68","0.39"
"732","hsa:539","ATP5O, ATPO, OSCP; ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (EC:3.6.3.14); K02137 F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14] (A)","hsa:8449","DHX16, DBP2, DDX16, PRO2014, PRP8, PRPF2, Prp2; DEAH (Asp-Glu-Ala-His) box polypeptide 16 (EC:3.6.4.13); K12813 pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16 [EC:3.6.4.13] (A)","0.68","0.4"
"733","hsa:498","ATP5A1, ATP5A, ATP5AL2, ATPM, MC5DN4, MOM2, OMR, ORM, hATP1; ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle; K02132 F-type H+-transporting ATPase subunit alpha [EC:3.6.3.14] (A)","hsa:79573","TTC13; tetratricopeptide repeat domain 13 (A)","0.73","0.13"
"734","hsa:509","ATP5C1, ATP5C, ATP5CL1; ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1 (EC:3.6.1.14); K02136 F-type H+-transporting ATPase subunit gamma [EC:3.6.3.14] (A)","hsa:84320","ACBD6; acyl-CoA binding domain containing 6 (A)","0.63","0.29"
"735","hsa:506","ATP5B, ATPMB, ATPSB; ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide (EC:3.6.3.14); K02133 F-type H+-transporting ATPase subunit beta [EC:3.6.3.14] (A)","hsa:84264","HAGHL; hydroxyacylglutathione hydrolase-like (EC:3.1.2.6); K01069 hydroxyacylglutathione hydrolase [EC:3.1.2.6] (A)","0.89","0.18"
"736","hsa:498","ATP5A1, ATP5A, ATP5AL2, ATPM, MC5DN4, MOM2, OMR, ORM, hATP1; ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle; K02132 F-type H+-transporting ATPase subunit alpha [EC:3.6.3.14] (A)","hsa:84264","HAGHL; hydroxyacylglutathione hydrolase-like (EC:3.1.2.6); K01069 hydroxyacylglutathione hydrolase [EC:3.1.2.6] (A)","0.89","0.19"
"737","hsa:506","ATP5B, ATPMB, ATPSB; ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide (EC:3.6.3.14); K02133 F-type H+-transporting ATPase subunit beta [EC:3.6.3.14] (A)","hsa:6133","RPL9, L9, NPC-A-16; ribosomal protein L9; K02940 large subunit ribosomal protein L9e (A)","0.72","0.13"
"738","hsa:498","ATP5A1, ATP5A, ATP5AL2, ATPM, MC5DN4, MOM2, OMR, ORM, hATP1; ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle; K02132 F-type H+-transporting ATPase subunit alpha [EC:3.6.3.14] (A)","hsa:6133","RPL9, L9, NPC-A-16; ribosomal protein L9; K02940 large subunit ribosomal protein L9e (A)","0.71","0.08"
"739","hsa:498","ATP5A1, ATP5A, ATP5AL2, ATPM, MC5DN4, MOM2, OMR, ORM, hATP1; ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle; K02132 F-type H+-transporting ATPase subunit alpha [EC:3.6.3.14] (A)","hsa:79814","AGMAT; agmatine ureohydrolase (agmatinase) (EC:3.5.3.11); K01480 agmatinase [EC:3.5.3.11] (A)","0.71","0.12"
"740","hsa:506","ATP5B, ATPMB, ATPSB; ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide (EC:3.6.3.14); K02133 F-type H+-transporting ATPase subunit beta [EC:3.6.3.14] (A)","hsa:79814","AGMAT; agmatine ureohydrolase (agmatinase) (EC:3.5.3.11); K01480 agmatinase [EC:3.5.3.11] (A)","0.7","0.1"
"741","hsa:506","ATP5B, ATPMB, ATPSB; ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide (EC:3.6.3.14); K02133 F-type H+-transporting ATPase subunit beta [EC:3.6.3.14] (A)","hsa:9399","STOML1, SLP-1, STORP, hUNC-24; stomatin (EPB72)-like 1 (A)","0.78","0.18"
"742","hsa:498","ATP5A1, ATP5A, ATP5AL2, ATPM, MC5DN4, MOM2, OMR, ORM, hATP1; ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle; K02132 F-type H+-transporting ATPase subunit alpha [EC:3.6.3.14] (A)","hsa:9399","STOML1, SLP-1, STORP, hUNC-24; stomatin (EPB72)-like 1 (A)","0.78","0.13"
"743","hsa:515","ATP5F1, PIG47; ATP synthase, H+ transporting, mitochondrial Fo complex, subunit B1; K02127 F-type H+-transporting ATPase subunit b [EC:3.6.3.14] (A)","hsa:642","BLMH, BH, BMH; bleomycin hydrolase (EC:3.4.22.40); K01372 bleomycin hydrolase [EC:3.4.22.40] (A)","0.61","0.7"
"744","hsa:506","ATP5B, ATPMB, ATPSB; ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide (EC:3.6.3.14); K02133 F-type H+-transporting ATPase subunit beta [EC:3.6.3.14] (A)","hsa:56898","BDH2, DHRS6, EFA6R, PRO20933, SDR15C1, UCPA-OR, UNQ6308; 3-hydroxybutyrate dehydrogenase, type 2 (EC:1.1.1.30); K00019 3-hydroxybutyrate dehydrogenase [EC:1.1.1.30] (A)","0.97","0.38"
"745","hsa:498","ATP5A1, ATP5A, ATP5AL2, ATPM, MC5DN4, MOM2, OMR, ORM, hATP1; ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle; K02132 F-type H+-transporting ATPase subunit alpha [EC:3.6.3.14] (A)","hsa:56898","BDH2, DHRS6, EFA6R, PRO20933, SDR15C1, UCPA-OR, UNQ6308; 3-hydroxybutyrate dehydrogenase, type 2 (EC:1.1.1.30); K00019 3-hydroxybutyrate dehydrogenase [EC:1.1.1.30] (A)","0.96","0.3"
